FID,Id,ChaosTerra,Lon,Lat,Area__sqkm
0,0,A,-84.6166000,34.4061012,12255.2998047
1,0,B,-78.8159027,30.6788998,2761.2700195
2,0,C,-79.3582993,25.6518002,2936.8200684
3,0,D,-73.9479980,25.6613998,1953.6999512
4,0,E,-82.5891037,22.4050007,7665.5097656
5,0,aa,129.6280060,9.4170904,13151.5996094
6,0,bb,128.4179993,1.3222500,22553.0000000
7,0,dd,125.3789978,3.6374700,7965.5200195
8,0,ee,131.2579956,-17.3332005,3127.0000000
9,0,ff,143.4989929,-23.4078007,2299.1000977
10,0,gg,141.8260040,-26.2814007,7750.2202148
11,0,hh,139.7790070,-36.1717987,6036.4902344
12,0,ii,137.0099945,-39.4086990,11718.4003906
13,0,jj,140.0950012,-41.2808990,6921.4399414
14,0,kk,137.1230011,-42.5909004,1787.6300049
15,0,G,-73.1648026,-21.2490997,4286.6298828
16,0,F,-75.2764969,-19.8838997,2912.8798828
17,0,H,-70.9966965,-21.2558002,2237.3500977
18,0,I,-81.4369965,-30.6627998,5923.9799805
19,0,Co,86.6548996,9.6611700,9020.8798828
